baseline,num_repaired,num_sample_evaluable,repaired_success_rate,scaffold_preservation,editable_validity,anchor_validity,clash_free_rate,mean_clash_count,mean_qed,mean_logp,mean_posebusters_like_pass,mean_contact_fingerprint_similarity,mean_contact_recovery,mean_vina_like_proxy,mean_ligand_efficiency_proxy,mean_sa_fallback,source
best_of_n,84,84,0.6666666666666666,1.0,1.0,0.8571428571428571,0.7261904761904762,0.6547619047619048,0.3867011703296784,2.0783642857142897,0.7261904761904762,0.881044404869008,0.958795983258844,1.948788502275566,0.06187130552142067,3.7733333333333343,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
coordinate_rollback,84,84,1.0,1.0,1.0,1.0,1.0,0.0,0.378909725798289,1.7658583333333358,1.0,1.0,1.0,0.36313889943491623,0.011487333836579084,3.7733333333333343,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
direct_regeneration,84,84,0.6547619047619048,1.0,1.0,0.7976190476190477,0.7261904761904762,0.5952380952380952,0.36832268831860143,1.823594047619049,0.7261904761904762,0.8260848327394955,0.9356425665148796,1.9595874430638598,0.062031790329473306,3.7733333333333343,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
feedback_geometry_refinement,84,84,0.8452380952380952,1.0,1.0,0.8809523809523809,0.9523809523809523,0.05952380952380952,0.36832268831860143,1.823594047619049,0.9523809523809523,0.8680413632525457,0.9288753447546402,0.7138868980407683,0.02478448244419791,3.7733333333333343,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
feedback_kernel_geometry_policy,84,84,0.6785714285714286,1.0,1.0,0.8571428571428571,0.75,0.44047619047619047,0.36832268831860143,1.823594047619049,0.75,0.8783648705562945,0.9560389935162174,1.5529361976868117,0.05176818645822871,3.7733333333333343,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
feedback_knn_geometry_policy,84,84,0.7380952380952381,1.0,1.0,0.8571428571428571,0.8333333333333334,0.25,0.36832268831860143,1.823594047619049,0.8333333333333334,0.8512386747520709,0.9334241624527083,1.1573262438360183,0.04212342818713285,3.7733333333333343,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
feedback_learned_geometry_policy,84,84,0.75,1.0,1.0,0.8690476190476191,0.8452380952380952,0.30952380952380953,0.36832268831860143,1.823594047619049,0.8452380952380952,0.8759756573594266,0.947385404154571,1.2227076488108106,0.04001736093692474,3.7733333333333343,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
feedback_linear_refinement,84,84,0.8809523809523809,1.0,1.0,1.0,0.8809523809523809,0.14285714285714285,0.36832268831860143,1.823594047619049,0.8809523809523809,0.9398245013962342,0.9740099719404691,0.7892628309952114,0.027494095396495943,3.7733333333333343,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
feedback_rule_repair,84,84,1.0,1.0,1.0,1.0,1.0,0.0,0.36832268831860143,1.823594047619049,1.0,0.9867796941924636,0.9916872346139857,0.38788087329786436,0.012882605674571017,3.7733333333333343,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
identity_failed_candidate,84,84,0.6904761904761905,1.0,1.0,0.8571428571428571,0.75,0.6428571428571429,0.36832268831860143,1.823594047619049,0.75,0.8936925189491141,0.9665243194033292,1.9675906072965683,0.06016744116975889,3.7733333333333343,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
no_feedback_repair,84,84,0.6904761904761905,1.0,1.0,0.8571428571428571,0.75,0.6428571428571429,0.36832268831860143,1.823594047619049,0.75,0.8936925189491141,0.9665243194033292,1.9675906072965683,0.06016744116975889,3.7733333333333343,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
rerank_only,84,84,0.6904761904761905,1.0,1.0,0.8571428571428571,0.75,0.6428571428571429,0.36832268831860143,1.823594047619049,0.75,0.8936925189491141,0.9665243194033292,1.9675906072965683,0.06016744116975889,3.7733333333333343,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
