baseline,num_repaired,num_sample_evaluable,repaired_success_rate,scaffold_preservation,editable_validity,anchor_validity,clash_free_rate,mean_clash_count,mean_qed,mean_logp,mean_posebusters_like_pass,mean_contact_fingerprint_similarity,mean_contact_recovery,mean_vina_like_proxy,mean_ligand_efficiency_proxy,mean_sa_fallback,source
best_of_n,84,84,0.6666666666666666,1.0,1.0,0.8571428571428571,0.7261904761904762,0.5833333333333334,0.3867011703296784,2.0783642857142897,0.7261904761904762,0.8719871784196718,0.9513972353363194,1.819762522084081,0.05960070202442297,3.7733333333333343,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
coordinate_rollback,84,84,1.0,1.0,1.0,1.0,1.0,0.0,0.378909725798289,1.7658583333333358,1.0,1.0,1.0,0.36313889943491623,0.011487333836579084,3.7733333333333343,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
direct_regeneration,84,84,0.5119047619047619,1.0,1.0,0.6309523809523809,0.75,0.5357142857142857,0.36832268831860143,1.823594047619049,0.75,0.8256505196666265,0.9286058977749831,1.7738121812783656,0.05739174870622131,3.7733333333333343,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
feedback_geometry_refinement,84,84,0.7380952380952381,1.0,1.0,0.7976190476190477,0.9285714285714286,0.07142857142857142,0.36832268831860143,1.823594047619049,0.9285714285714286,0.8703149815476365,0.9338709363409963,0.7335969777305817,0.025586515540119443,3.7733333333333343,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
feedback_kernel_geometry_policy,84,84,0.6785714285714286,1.0,1.0,0.8571428571428571,0.7380952380952381,0.4523809523809524,0.36832268831860143,1.823594047619049,0.7380952380952381,0.8788249625122232,0.9563747163286481,1.5769645963990022,0.052711147272866285,3.7733333333333343,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
feedback_knn_geometry_policy,84,84,0.6428571428571429,1.0,1.0,0.7857142857142857,0.7857142857142857,0.3333333333333333,0.36832268831860143,1.823594047619049,0.7857142857142857,0.8320257803238917,0.9283532732371789,1.3441061555485507,0.04808031486691357,3.7733333333333343,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
feedback_learned_geometry_policy,84,84,0.7261904761904762,1.0,1.0,0.8690476190476191,0.8214285714285714,0.2857142857142857,0.36832268831860143,1.823594047619049,0.8214285714285714,0.8745205546319346,0.946846187900489,1.1755613596562644,0.038967172181901766,3.7733333333333343,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
feedback_linear_refinement,84,84,0.8809523809523809,1.0,1.0,1.0,0.8809523809523809,0.14285714285714285,0.36832268831860143,1.823594047619049,0.8809523809523809,0.9398245013962342,0.9740099719404691,0.7892628309952114,0.027494095396495943,3.7733333333333343,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
feedback_rule_repair,84,84,1.0,1.0,1.0,1.0,1.0,0.0,0.36832268831860143,1.823594047619049,1.0,0.9867796941924636,0.9916872346139857,0.38788087329786436,0.012882605674571017,3.7733333333333343,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
identity_failed_candidate,84,84,0.6904761904761905,1.0,1.0,0.8571428571428571,0.75,0.6428571428571429,0.36832268831860143,1.823594047619049,0.75,0.8936925189491141,0.9665243194033292,1.9675906072965683,0.06016744116975889,3.7733333333333343,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
no_feedback_repair,84,84,0.6904761904761905,1.0,1.0,0.8571428571428571,0.75,0.6428571428571429,0.36832268831860143,1.823594047619049,0.75,0.8936925189491141,0.9665243194033292,1.9675906072965683,0.06016744116975889,3.7733333333333343,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
rerank_only,84,84,0.6904761904761905,1.0,1.0,0.8571428571428571,0.75,0.6428571428571429,0.36832268831860143,1.823594047619049,0.75,0.8936925189491141,0.9665243194033292,1.9675906072965683,0.06016744116975889,3.7733333333333343,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
