baseline,num_repaired,num_sample_evaluable,repaired_success_rate,repair_gain_success_rate,scaffold_preservation,editable_validity,anchor_validity,clash_free_rate,mean_clash_count,mean_qed,mean_logp,mean_posebusters_like_pass,mean_contact_fingerprint_similarity,mean_contact_fingerprint_similarity_gain,mean_contact_recovery,mean_contact_recovery_gain,mean_vina_like_proxy,mean_vina_like_gain,mean_anchor_error_reduction,mean_clash_count_reduction,mean_ligand_efficiency_proxy,mean_sa_fallback,source
best_of_n,3,3,0.0,0.0,,1.0,0.0,1.0,0.0,0.23178797375127028,2.7084666666666712,1.0,0.6070519518795381,0.0,0.7422884841363103,0.0,0.3014427931148688,0.08946666666666676,0.0,0.0,0.007771366106084483,5.41,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
coordinate_rollback,3,3,1.0,1.0,,1.0,1.0,1.0,0.0,0.23154649657855628,2.2611333333333374,1.0,1.0,0.3929480481204619,1.0,0.25771151586368973,0.5913150099520931,-0.2004055501705575,10.389804000804578,0.0,0.015541953032844655,5.41,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
direct_regeneration,3,3,0.0,0.0,,1.0,0.0,1.0,0.0,0.16536618639194517,2.4438333333333366,1.0,0.6070519518795381,0.0,0.7422884841363103,0.0,0.3349620668663937,0.055947392915141926,0.0,0.0,0.009019944691118964,5.41,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
feedback_anchor_alignment_policy,3,3,0.0,0.0,,1.0,0.0,1.0,0.0,0.23154649657855628,2.2611333333333374,1.0,0.5725691932588485,-0.03448275862068965,0.698810223266745,-0.04347826086956522,0.6043071015662099,-0.21339764178467435,0.10812524494912701,0.0,0.017260064208128537,5.41,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
feedback_geometry_refinement,3,3,0.0,0.0,,1.0,0.0,1.0,0.0,0.23154649657855628,2.2611333333333374,1.0,0.608132852178562,0.001080900299023783,0.7417376615746182,-0.0005508225616921436,0.6713545765200332,-0.28044511673849765,0.4085262579264146,0.0,0.018235619288752808,5.41,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
feedback_kernel_geometry_policy,3,3,0.0,0.0,,1.0,0.0,1.0,0.0,0.23154649657855628,2.2611333333333374,1.0,0.6187806681454594,0.01172871626592135,0.7567812377594986,0.014492753623188396,0.4980737532368315,-0.10716429345529595,-0.07248678471437013,0.0,0.01254593884508263,5.41,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
feedback_knn_geometry_policy,3,3,0.0,0.0,,1.0,0.0,1.0,0.0,0.23154649657855628,2.2611333333333374,1.0,0.5985226605916261,-0.008529291287911986,0.7237196435566,-0.01856884057971016,0.5650641376066229,-0.1741546778250873,-0.20193164331738878,0.0,0.014129519781630823,5.41,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
feedback_learned_geometry_policy,3,3,0.0,0.0,,1.0,0.0,0.6666666666666666,1.6666666666666667,0.23154649657855628,2.2611333333333374,0.6666666666666666,0.5576536357786357,-0.04939831610090232,0.7542719349784567,0.01198345084214647,4.2537453173669375,-3.8628358575854023,0.2640829184980298,-1.6666666666666667,0.09597663142517603,5.41,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
feedback_linear_refinement,3,3,0.0,0.0,,1.0,0.0,0.6666666666666666,3.6666666666666665,0.23154649657855628,2.2611333333333374,0.6666666666666666,0.5180247713980847,-0.08902718048145336,0.7209043282412848,-0.021384155895025476,8.633382760299442,-8.242473300517908,0.23684241117375096,-3.6666666666666665,0.19493536816441215,5.41,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
feedback_residual_ensemble_policy,3,3,0.0,0.0,,1.0,0.0,0.6666666666666666,1.0,0.23154649657855628,2.2611333333333374,0.6666666666666666,0.5443469785575048,-0.06270497332203323,0.7362539169604387,-0.0060345671758715485,2.827559047435306,-2.4366495876537697,0.3186776582567929,-1.0,0.06452457170751585,5.41,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
feedback_rule_repair,3,3,1.0,1.0,,1.0,1.0,1.0,0.0,0.23154649657855628,2.2611333333333374,1.0,1.0,0.3929480481204619,1.0,0.25771151586368973,0.5913150099520931,-0.2004055501705575,10.389804000804578,0.0,0.015541953032844655,5.41,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
identity_failed_candidate,3,3,0.0,0.0,,1.0,0.0,1.0,0.0,0.23154649657855628,2.2611333333333374,1.0,0.6070519518795381,0.0,0.7422884841363103,0.0,0.3909094597815355,0.0,0.0,0.0,0.009901524836243217,5.41,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
no_feedback_repair,3,3,0.0,0.0,,1.0,0.0,1.0,0.0,0.23154649657855628,2.2611333333333374,1.0,0.6070519518795381,0.0,0.7422884841363103,0.0,0.3909094597815355,0.0,0.0,0.0,0.009901524836243217,5.41,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
rerank_only,3,3,0.0,0.0,,1.0,0.0,1.0,0.0,0.23154649657855628,2.2611333333333374,1.0,0.6070519518795381,0.0,0.7422884841363103,0.0,0.3909094597815355,0.0,0.0,0.0,0.009901524836243217,5.41,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
