failure_type,baseline,num_repaired_records,repaired_success_rate,clash_free_rate,anchor_validity,editable_validity,mean_clash_count,mean_posebusters_like_pass,mean_contact_fingerprint_similarity,mean_contact_recovery,mean_vina_like_proxy,mean_ligand_efficiency_proxy
anchor_invalid,best_of_n,156,0.0,0.4166666666666667,0.0,1.0,2.75,0.4166666666666667,0.6916610275998757,0.9076037341287528,6.723336499056434,0.18314635288581385
anchor_invalid,coordinate_rollback,156,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.36313889943491634,0.011487333836579077
anchor_invalid,direct_regeneration,156,0.0,0.25,0.0,1.0,3.9166666666666665,0.25,0.6216275538160231,0.9237539442127866,9.168904803466106,0.29350655680190985
anchor_invalid,feedback_geometry_refinement,156,0.4166666666666667,0.9166666666666666,0.4166666666666667,1.0,0.08333333333333333,0.9166666666666666,0.8067002976575205,0.8952099690199317,0.8582196981449147,0.02706474135817258
anchor_invalid,feedback_kernel_geometry_policy,156,0.0,0.5,0.0,1.0,1.4166666666666667,0.5,0.7208599745540051,0.9037386843877441,4.003447426135274,0.11512168586218803
anchor_invalid,feedback_knn_geometry_policy,156,0.25,0.75,0.25,1.0,0.4166666666666667,0.75,0.7856348328122521,0.9105086323449108,1.7100795318670814,0.06304366869271781
anchor_invalid,feedback_learned_geometry_policy,156,0.08333333333333333,0.8333333333333334,0.08333333333333333,1.0,0.4166666666666667,0.8333333333333334,0.8148711834880745,0.9150131368494154,1.6099387474729392,0.044669894684308174
anchor_invalid,feedback_linear_refinement,156,1.0,1.0,1.0,1.0,0.0,1.0,0.9895376461988304,0.9916713588588588,0.35929085792180665,0.011937215558676157
anchor_invalid,feedback_residual_ensemble_policy,156,0.08333333333333333,0.8333333333333334,0.08333333333333333,1.0,0.16666666666666666,0.8333333333333334,0.8196288936506327,0.9182230544930555,1.0410896334865993,0.032446743631677176
anchor_invalid,feedback_rule_repair,156,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.36313889943491634,0.011487333836579077
anchor_invalid,identity_failed_candidate,156,0.0,0.4166666666666667,0.0,1.0,2.75,0.4166666666666667,0.6916610275998757,0.9076037341287528,6.788149832389769,0.18534186763587931
anchor_invalid,no_feedback_repair,156,0.0,0.4166666666666667,0.0,1.0,2.75,0.4166666666666667,0.6916610275998757,0.9076037341287528,6.788149832389769,0.18534186763587931
anchor_invalid,rerank_only,156,0.0,0.4166666666666667,0.0,1.0,2.75,0.4166666666666667,0.6916610275998757,0.9076037341287528,6.788149832389769,0.18534186763587931
clash,best_of_n,156,0.9166666666666666,0.9166666666666666,1.0,1.0,0.08333333333333333,0.9166666666666666,0.8981192470396202,0.9605318542418925,0.47625878481741196,0.012168478011936087
clash,coordinate_rollback,156,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.36313889943491634,0.011487333836579077
clash,direct_regeneration,156,0.9166666666666666,0.9166666666666666,1.0,1.0,0.08333333333333333,0.9166666666666666,0.896526003681671,0.9608769198043495,0.5323633221528591,0.013931478366644554
clash,feedback_geometry_refinement,156,0.6666666666666666,1.0,0.6666666666666666,1.0,0.0,1.0,0.8872995733289851,0.9420859248620389,0.5409112285577585,0.020432151910490762
clash,feedback_kernel_geometry_policy,156,0.9166666666666666,0.9166666666666666,1.0,1.0,0.08333333333333333,0.9166666666666666,0.8990951184701185,0.961281479429299,0.5104083732634003,0.013058269381095583
clash,feedback_knn_geometry_policy,156,0.5833333333333334,0.9166666666666666,0.6666666666666666,1.0,0.08333333333333333,0.9166666666666666,0.8669840616899439,0.9360952966287633,0.6090623798121894,0.019825155197272407
clash,feedback_learned_geometry_policy,156,0.9166666666666666,0.9166666666666666,1.0,1.0,0.08333333333333333,0.9166666666666666,0.8809630274407315,0.9582547299363983,0.5783729229671976,0.015129062263859593
clash,feedback_linear_refinement,156,1.0,1.0,1.0,1.0,0.0,1.0,0.9939236111111112,0.9973958333333334,0.369863847776666,0.012061338311300145
clash,feedback_residual_ensemble_policy,156,0.9166666666666666,0.9166666666666666,1.0,1.0,0.08333333333333333,0.9166666666666666,0.8717511714072433,0.9489600981740941,0.6199807516746119,0.017613398128663443
clash,feedback_rule_repair,156,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.36313889943491634,0.011487333836579077
clash,identity_failed_candidate,156,0.9166666666666666,0.9166666666666666,1.0,1.0,0.08333333333333333,0.9166666666666666,0.8981192470396202,0.9605318542418925,0.5410721181507455,0.014363992762001536
clash,no_feedback_repair,156,0.9166666666666666,0.9166666666666666,1.0,1.0,0.08333333333333333,0.9166666666666666,0.8981192470396202,0.9605318542418925,0.5410721181507455,0.014363992762001536
clash,rerank_only,156,0.9166666666666666,0.9166666666666666,1.0,1.0,0.08333333333333333,0.9166666666666666,0.8981192470396202,0.9605318542418925,0.5410721181507455,0.014363992762001536
drug_likeness_drop,best_of_n,156,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.31451056610158284,0.009849922534789493
drug_likeness_drop,coordinate_rollback,156,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.36313889943491634,0.011487333836579077
drug_likeness_drop,direct_regeneration,156,0.6666666666666666,0.75,0.75,1.0,0.4166666666666667,0.75,0.8185204473354267,0.9232416862651838,1.5062795211954512,0.048625308400760396
drug_likeness_drop,feedback_geometry_refinement,156,0.8333333333333334,1.0,0.8333333333333334,1.0,0.0,1.0,0.9442420294859319,0.9793789039313335,0.4493330900404269,0.017662300870052595
drug_likeness_drop,feedback_kernel_geometry_policy,156,1.0,1.0,1.0,1.0,0.0,1.0,0.9589506936153279,0.9784658739621975,0.3347762645452494,0.011398260472610035
drug_likeness_drop,feedback_knn_geometry_policy,156,0.9166666666666666,1.0,0.9166666666666666,1.0,0.0,1.0,0.892081536913854,0.9451397683534832,0.38232482250264693,0.011571313313095919
drug_likeness_drop,feedback_learned_geometry_policy,156,0.9166666666666666,0.9166666666666666,1.0,1.0,0.08333333333333333,0.9166666666666666,0.9629771865997503,0.9758244088219725,0.47212757755591994,0.013025776333643713
drug_likeness_drop,feedback_linear_refinement,156,1.0,1.0,1.0,1.0,0.0,1.0,0.9939236111111112,0.9973958333333334,0.2903864576133593,0.009456647203403069
drug_likeness_drop,feedback_residual_ensemble_policy,156,1.0,1.0,1.0,1.0,0.0,1.0,0.9407214582670712,0.9585895257383042,0.37702421816306525,0.013196096125063969
