baseline,num_repaired,num_sample_evaluable,repaired_success_rate,repair_gain_success_rate,scaffold_preservation,editable_validity,anchor_validity,clash_free_rate,mean_clash_count,mean_qed,mean_logp,mean_posebusters_like_pass,mean_contact_fingerprint_similarity,mean_contact_fingerprint_similarity_gain,mean_contact_recovery,mean_contact_recovery_gain,mean_vina_like_proxy,mean_vina_like_gain,mean_anchor_error_reduction,mean_clash_count_reduction,mean_internal_candidate_budget,internal_budget_types,mean_ligand_efficiency_proxy,mean_sa_fallback,source
best_of_n,17,17,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.372478706618452,0.9817529411764745,1.0,0.8612262740242694,-0.0022549019607843203,0.8763154662164715,-0.0027706734867860116,0.6053250112606979,0.04860059333928511,-0.07487012977269385,0.0,16.11764705882353,['candidate_pool_selection'],0.018689355042010764,4.012352941176469,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
coordinate_rollback,17,17,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.37805054423109263,0.5994705882352958,1.0,1.0,0.13651882401494617,1.0,0.12091386029674238,0.6246583364792998,0.02926726812068321,0.0,0.0,1.0,['reference_or_rule_copy'],0.01987096406111977,4.012352941176469,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
direct_regeneration,17,17,0.8823529411764706,0.0,1.0,1.0,1.0,0.8823529411764706,0.11764705882352941,0.37805054423109263,0.5994705882352958,0.8823529411764706,0.7820749511925983,-0.08140622479245554,0.8430313729689778,-0.036054766734279924,1.0010860073654027,-0.3471604027654197,-0.5069911623049113,-0.11764705882352941,16.11764705882353,['candidate_pool_index_selection'],0.030382678901620143,4.012352941176469,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
feedback_budgeted_learned_editable_contact_policy,17,17,1.0,0.29411764705882354,1.0,1.0,1.0,1.0,0.0,0.37805054423109263,0.5994705882352958,1.0,0.8884211200695433,0.024939944084489452,0.9080203858154956,0.02893424611223801,0.6727511928106851,-0.018825588210702016,0.0,0.0,10.0,['editable_offset_selection'],0.02070759011296179,4.012352941176469,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
feedback_editable_contact_policy,17,17,1.0,0.6470588235294118,1.0,1.0,1.0,1.0,0.0,0.37805054423109263,0.5994705882352958,1.0,0.9171810542398778,0.05369987825482396,0.9445482353361134,0.06546209563285586,0.6760326015471729,-0.022106996947189938,0.0,0.0,10.0,['editable_offset_selection'],0.02122257201442063,4.012352941176469,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
feedback_editable_full_policy,17,17,1.0,0.6470588235294118,1.0,1.0,1.0,1.0,0.0,0.37805054423109263,0.5994705882352958,1.0,0.9171810542398778,0.05369987825482396,0.9445482353361134,0.06546209563285586,0.6760326015471729,-0.022106996947189938,0.0,0.0,10.0,['editable_offset_selection'],0.02122257201442063,4.012352941176469,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
feedback_editable_geometry_only_policy,17,17,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.37805054423109263,0.5994705882352958,1.0,0.8634811759850538,0.0,0.8790861397032574,0.0,0.6539256045999831,0.0,0.0,0.0,10.0,['editable_offset_selection'],0.01975324173330758,4.012352941176469,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
feedback_editable_global_only_policy,17,17,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.37805054423109263,0.5994705882352958,1.0,0.8634811759850538,0.0,0.8790861397032574,0.0,0.6539256045999831,0.0,0.0,0.0,10.0,['editable_offset_selection'],0.01975324173330758,4.012352941176469,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
feedback_editable_interaction_only_policy,17,17,0.7647058823529411,0.6470588235294118,1.0,1.0,1.0,0.7647058823529411,0.8823529411764706,0.37805054423109263,0.5994705882352958,0.7647058823529411,0.8519524405506885,-0.011528735434365448,0.9316805882772898,0.052594448574032324,2.5399909391475237,-1.8860653345475404,0.0,-0.8823529411764706,10.0,['editable_offset_selection'],0.07644184205593782,4.012352941176469,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
feedback_geometry_refinement,17,17,0.8235294117647058,0.058823529411764705,1.0,1.0,0.8235294117647058,1.0,0.0,0.37805054423109263,0.5994705882352958,1.0,0.7741299577732216,-0.08935121821183226,0.8405048788630894,-0.03858126084016814,0.8387281703561063,-0.18480256575612333,-0.7144755664910394,0.0,16.11764705882353,['candidate_pool_selection'],0.02752236322857123,4.012352941176469,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
