baseline,num_repaired,num_sample_evaluable,repaired_success_rate,repair_gain_success_rate,scaffold_preservation,editable_validity,anchor_validity,clash_free_rate,mean_clash_count,mean_qed,mean_logp,mean_posebusters_like_pass,mean_contact_fingerprint_similarity,mean_contact_fingerprint_similarity_gain,mean_contact_recovery,mean_contact_recovery_gain,mean_vina_like_proxy,mean_vina_like_gain,mean_anchor_error_reduction,mean_clash_count_reduction,mean_internal_candidate_budget,internal_budget_types,mean_ligand_efficiency_proxy,mean_sa_fallback,source
best_of_n,17,17,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.372478706618452,0.9817529411764745,1.0,0.8572066661811322,-0.006274509803921576,0.8738644858243146,-0.005221653878942878,0.6491355573009316,0.021477612302218844,-0.14974025954538697,0.0,16.11764705882353,['candidate_pool_selection'],0.020362286256369863,4.012352941176469,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
coordinate_rollback,17,17,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.37805054423109263,0.5994705882352958,1.0,1.0,0.13651882401494617,1.0,0.12091386029674238,0.6246583364792998,0.045954833123850715,0.0,0.0,1.0,['reference_or_rule_copy'],0.01987096406111977,4.012352941176469,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
direct_regeneration,17,17,0.7647058823529411,0.17647058823529413,1.0,1.0,0.8235294117647058,0.7647058823529411,0.5294117647058824,0.37805054423109263,0.5994705882352958,0.7647058823529411,0.7635230984606701,-0.09995807752438374,0.872537628244701,-0.006548511458556427,1.9870926533733708,-1.3164794837702203,-0.7058326277576874,-0.5294117647058824,16.11764705882353,['candidate_pool_index_selection'],0.0622764023745889,4.012352941176469,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
feedback_budgeted_learned_editable_contact_policy,17,17,1.0,0.29411764705882354,1.0,1.0,1.0,1.0,0.0,0.37805054423109263,0.5994705882352958,1.0,0.8918769786454457,0.028395802660391798,0.9092229095536266,0.030136769850368936,0.6815275528630383,-0.010914383259887757,0.0,0.0,10.0,['editable_offset_selection'],0.02104153423825857,4.012352941176469,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
feedback_editable_contact_policy,17,17,1.0,0.5882352941176471,1.0,1.0,1.0,1.0,0.0,0.37805054423109263,0.5994705882352958,1.0,0.9128393175452,0.049358141560146084,0.9408343359832688,0.061748196280011255,0.6911868625447465,-0.020573692941595983,0.0,0.0,10.0,['editable_offset_selection'],0.021925640082991218,4.012352941176469,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
feedback_editable_full_policy,17,17,1.0,0.5882352941176471,1.0,1.0,1.0,1.0,0.0,0.37805054423109263,0.5994705882352958,1.0,0.9128393175452,0.049358141560146084,0.9408343359832688,0.061748196280011255,0.6911868625447465,-0.020573692941595983,0.0,0.0,10.0,['editable_offset_selection'],0.021925640082991218,4.012352941176469,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
feedback_editable_geometry_only_policy,17,17,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.37805054423109263,0.5994705882352958,1.0,0.8634811759850538,0.0,0.8790861397032574,0.0,0.6706131696031505,0.0,0.0,0.0,10.0,['editable_offset_selection'],0.020407296606749854,4.012352941176469,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
feedback_editable_global_only_policy,17,17,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.37805054423109263,0.5994705882352958,1.0,0.8634811759850538,0.0,0.8790861397032574,0.0,0.6706131696031505,0.0,0.0,0.0,10.0,['editable_offset_selection'],0.020407296606749854,4.012352941176469,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
feedback_editable_interaction_only_policy,17,17,0.7058823529411765,0.5294117647058824,1.0,1.0,1.0,0.7058823529411765,1.0,0.37805054423109263,0.5994705882352958,0.7058823529411765,0.8316230260220031,-0.03185814996305081,0.9216913339548712,0.042605194251613694,2.8126258034990372,-2.142012633895887,0.0,-1.0,10.0,['editable_offset_selection'],0.0853216144217953,4.012352941176469,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
feedback_geometry_refinement,17,17,0.6470588235294118,0.11764705882352941,1.0,1.0,0.6470588235294118,1.0,0.0,0.37805054423109263,0.5994705882352958,1.0,0.7777356436749226,-0.08574553231013118,0.8509355091361883,-0.028150630567069405,0.7972836673418854,-0.12667049773873496,-0.7995293671046926,0.0,16.11764705882353,['candidate_pool_selection'],0.026161922540132884,4.012352941176469,repaired_molecule_rdkit_geometry_eval_with_fallback_external_proxies
